sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:11:52_726 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
1,3587439996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,3587456663,1.000000,-0.000272,0.000159,-0.000026,-0.009836,0.009454,0.161634,0
3,3587473330,1.000000,-0.000509,0.000059,0.000365,-0.008314,0.006404,0.161223,0
4,3587489997,1.000000,-0.000665,0.000100,-0.000013,-0.007991,0.001676,0.162094,0
5,3587506664,1.000000,-0.000518,0.000302,-0.000501,-0.009660,0.004242,0.163467,0
6,3587523331,1.000000,-0.000412,0.000311,-0.000455,-0.011975,0.010082,0.166059,0
7,3587539998,1.000000,-0.000127,0.000113,0.000191,-0.013157,0.010012,0.166789,0
8,3587556665,1.000000,-0.000213,-0.000292,0.000491,-0.009148,0.003373,0.164722,0
9,3587573332,1.000000,-0.000498,-0.000793,-0.000250,-0.008414,-0.000150,0.162763,0
10,3587589999,0.999999,-0.000649,-0.000981,-0.000780,-0.008175,0.005535,0.160503,0
11,3587606666,0.999999,-0.000653,-0.000756,-0.000533,-0.010116,0.010736,0.159437,0
12,3587623333,1.000000,-0.000370,-0.000010,0.000068,-0.010692,0.008571,0.159692,0
13,3587640000,1.000000,-0.000231,0.000400,-0.000007,-0.008412,0.003353,0.161996,0
14,3587656667,1.000000,-0.000225,0.000141,-0.000583,-0.010013,0.005834,0.165138,0
15,3587673334,1.000000,-0.000253,-0.000320,-0.000346,-0.011470,0.011690,0.164537,0
16,3587690001,1.000000,-0.000546,-0.000528,0.000183,-0.008432,0.010328,0.161261,0
17,3587706668,1.000000,-0.000830,-0.000264,0.000130,-0.008089,0.005362,0.159223,0
18,3587723335,0.999999,-0.001097,0.000020,-0.000189,-0.008019,0.004532,0.160657,0
19,3587740002,1.000000,-0.000897,0.000224,-0.000247,-0.009537,0.007338,0.164906,0
20,3587756669,1.000000,-0.000474,0.000126,0.000464,-0.010476,0.008884,0.165806,0
21,3587773336,0.999999,-0.000451,-0.000005,0.000951,-0.008827,0.004479,0.163992,0
22,3587790003,0.999999,-0.000767,-0.000063,0.000760,-0.007014,-0.000914,0.162357,0
23,3587806670,0.999999,-0.001121,-0.000283,0.000169,-0.008087,-0.002671,0.161786,0
24,3587823337,0.999999,-0.001092,-0.000244,-0.000059,-0.008708,-0.001260,0.161490,0
25,3587840004,0.999999,-0.001177,-0.000169,-0.000139,-0.008044,0.000532,0.161047,0
26,3587856671,1.000000,-0.000974,-0.000045,-0.000047,-0.008407,0.001037,0.161887,0
27,3587873338,1.000000,-0.000555,0.000298,0.000079,-0.008273,0.002146,0.162298,0
28,3587890005,1.000000,-0.000897,0.000272,0.000087,-0.008185,0.003977,0.163087,0
29,3587906672,0.999999,-0.001642,-0.000279,-0.000039,-0.008616,0.002762,0.164989,0
30,3587923339,0.999998,-0.001850,-0.000777,-0.000205,-0.009511,0.001611,0.165032,0
31,3587940006,0.999998,-0.001653,-0.000849,-0.000184,-0.008920,0.001295,0.161605,0
32,3587956673,0.999998,-0.001816,-0.000444,-0.000251,-0.007405,0.000920,0.158573,0
33,3587973340,0.999998,-0.001941,0.000279,-0.000323,-0.007770,0.000350,0.158761,0
34,3587990007,0.999998,-0.001710,0.000694,-0.000286,-0.008542,-0.000185,0.162236,0
35,3588006674,0.999999,-0.000860,0.000716,0.000142,-0.009216,-0.001118,0.164143,0
36,3588023341,1.000000,-0.000405,0.000342,0.000285,-0.008369,-0.003106,0.164329,0
37,3588040008,1.000000,-0.000691,-0.000235,-0.000062,-0.007535,-0.002599,0.161852,0
38,3588056675,0.999999,-0.001163,-0.000354,-0.000269,-0.006710,-0.001249,0.158752,0
39,3588073342,0.999999,-0.001432,-0.000102,-0.000360,-0.005964,-0.000506,0.155394,0
40,3588090009,0.999998,-0.001735,0.000557,-0.000334,-0.005993,-0.000057,0.155747,0
41,3588106676,0.999998,-0.001630,0.000835,-0.000170,-0.007245,-0.002120,0.160563,0
42,3588123343,1.000000,-0.000229,0.000654,0.000187,-0.009166,-0.004461,0.164783,0
43,3588140010,1.000000,0.000725,0.000243,0.000586,-0.007935,-0.003531,0.162572,0
44,3588156677,1.000000,0.000128,0.000189,0.000394,-0.005611,-0.005115,0.158129,0
45,3588173344,1.000000,-0.000784,0.000458,-0.000401,-0.006146,-0.005869,0.159198,0
46,3588190011,0.999999,-0.001015,0.000740,-0.000793,-0.008422,-0.000216,0.162968,0
47,3588206678,0.999999,-0.001117,0.000384,-0.000307,-0.010707,0.004222,0.166700,0
48,3588223345,1.000000,-0.000695,-0.000181,0.000406,-0.011291,-0.000707,0.167590,0
49,3588240012,1.000000,-0.000227,-0.000351,0.000591,-0.008382,-0.005046,0.163726,0
50,3588256679,1.000000,-0.000392,-0.000359,0.000191,-0.007369,-0.006204,0.159807,0
51,3588273346,1.000000,-0.000695,-0.000061,-0.000008,-0.007028,-0.005306,0.158611,0
52,3588290013,0.999999,-0.000995,0.000195,-0.000034,-0.008012,-0.005197,0.159732,0
53,3588306680,0.999999,-0.001485,0.000130,-0.000059,-0.008675,-0.006784,0.160596,0
54,3588323347,0.999999,-0.001325,0.000183,-0.000259,-0.009342,-0.009325,0.162255,0
55,3588340014,1.000000,-0.000264,0.000549,-0.000368,-0.010149,-0.008948,0.162777,0
56,3588356681,1.000000,0.000529,0.000726,-0.000251,-0.010588,-0.004965,0.163095,0
57,3588373348,1.000000,0.000563,0.000483,-0.000059,-0.012047,-0.001934,0.164376,0
58,3588390015,1.000000,0.000811,0.000080,0.000398,-0.012264,-0.003832,0.162810,0
59,3588406682,1.000000,0.000872,-0.000214,0.000373,-0.007681,-0.007189,0.158287,0
60,3588423349,1.000000,0.000185,-0.000385,-0.000293,-0.005108,-0.005645,0.154427,0
61,3588440016,1.000000,-0.000335,0.000052,-0.000501,-0.008294,-0.002788,0.154901,0
62,3588456683,1.000000,-0.000177,0.000776,-0.000205,-0.009924,-0.002089,0.159483,0
63,3588473350,0.999999,0.000414,0.001101,0.000108,-0.011361,-0.003076,0.163460,0
64,3588490017,0.999999,0.000647,0.001003,0.000233,-0.011487,-0.004424,0.166060,0
65,3588506684,1.000000,0.000576,0.000696,0.000103,-0.011882,-0.004378,0.166588,0
66,3588523351,1.000000,0.000647,0.000306,0.000097,-0.011801,-0.003349,0.166963,0
67,3588540018,1.000000,0.000596,-0.000095,0.000389,-0.009387,-0.004404,0.164149,0
68,3588556685,1.000000,-0.000177,-0.000576,-0.000055,-0.008200,-0.008012,0.162081,0
69,3588573352,1.000000,-0.000275,-0.000586,-0.000659,-0.009735,-0.007545,0.161854,0
70,3588590019,1.000000,0.000771,-0.000145,-0.000566,-0.011238,-0.005833,0.162413,0
71,3588606686,0.999998,0.002139,0.000362,-0.000224,-0.010939,-0.004371,0.163943,0
72,3588623353,0.999995,0.003142,0.000315,0.000120,-0.009592,-0.003749,0.164569,0
73,3588640020,0.999994,0.003561,-0.000008,-0.000109,-0.010399,-0.002033,0.165296,0
74,3588656687,0.999990,0.004388,-0.000226,0.000032,-0.012310,0.001945,0.166711,0
75,3588673354,0.999987,0.004927,-0.000749,0.000456,-0.009875,0.006011,0.165126,0
76,3588690021,0.999987,0.004860,-0.001224,0.000470,-0.008940,0.009393,0.164436,0
