sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:15:53_745 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
1,3828460267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,3828476934,1.000000,-0.000025,-0.000425,0.000019,-0.016377,0.002819,0.155787,0
3,3828493601,0.999999,0.000563,0.000547,-0.000743,-0.011574,0.004815,0.158998,0
4,3828510268,1.000000,-0.000182,0.000497,-0.000461,-0.006795,0.006874,0.162037,0
5,3828526935,1.000000,-0.000682,-0.000399,0.000464,-0.008869,0.006145,0.160309,0
6,3828543602,1.000000,-0.000193,-0.000805,0.000395,-0.015242,0.004024,0.158031,0
7,3828560269,1.000000,0.000380,-0.000314,-0.000598,-0.013638,0.003441,0.157526,0
8,3828576936,0.999999,0.000258,0.000451,-0.001117,-0.007784,0.006212,0.157912,0
9,3828593603,0.999999,0.000160,0.000806,-0.000727,-0.005377,0.009758,0.159892,0
10,3828610270,1.000000,0.000405,-0.000149,0.000099,-0.008066,0.010065,0.162733,0
11,3828626937,0.999999,0.000629,-0.001012,0.000460,-0.010185,0.008447,0.163577,0
12,3828643604,0.999999,0.000922,-0.000427,0.000367,-0.011055,0.008012,0.165457,0
13,3828660271,1.000000,0.000632,0.000375,-0.000146,-0.012233,0.008262,0.167751,0
14,3828676938,1.000000,-0.000409,0.000727,-0.000340,-0.011691,0.009519,0.167662,0
15,3828693605,0.999999,-0.001397,0.000908,-0.000417,-0.009058,0.008650,0.165574,0
16,3828710272,0.999999,-0.001562,-0.000069,0.000480,-0.011725,0.007026,0.162249,0
17,3828726939,0.999999,-0.000405,-0.001005,0.000865,-0.016695,0.003444,0.158008,0
18,3828743606,1.000000,0.000752,-0.000269,0.000102,-0.017923,0.003461,0.157784,0
19,3828760273,0.999999,0.000592,0.000910,-0.000835,-0.012896,0.006489,0.161717,0
20,3828776940,0.999999,-0.000624,0.001097,-0.000814,-0.006775,0.008420,0.161193,0
21,3828793607,0.999998,-0.001022,0.001456,-0.000336,-0.004850,0.007900,0.159638,0
